2019-08-23 11:57:49,029 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,032 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,032 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,035 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,035 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,038 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,038 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,041 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,042 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,045 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [3] milliseconds
2019-08-23 11:57:49,046 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,050 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [4] milliseconds
2019-08-23 11:57:49,051 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
2019-08-23 11:57:49,053 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [2] milliseconds
2019-08-23 11:57:49,053 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: Product
